ccode,scode,country,uscrireg,region,source08,idp08,host08,source07,idp07,host07,source06,idp06,host06,source05,idp05,host05,source04,idp04,host04,source03,idp03,host03,source02,idp02,host02,source01,idp01,host01,source00,idp00,host00,source99,idp99,host99,source98,idp98,host98,source97,idp97,host97,source96,idp96,host96,source95,idp95,host95,source94,idp94,host94,source93,idp93,host93,source92,idp92,host92,source91,idp91,host91,source90,idp90,host90,source89,idp89,host89,source88,idp88,host88,source87,idp87,host87,source86,idp86,host86,source85,idp85,host85,source84,idp84,host84,source83,idp83,host83,source82,idp82,host82,source81,idp81,host81,source80,idp80,host80,source79,idp79,host79,source78,idp78,host78,source77,idp77,host77,source76,idp76,host76,source75,idp75,host75,source74,idp74,host74,source73,idp73,host73,source72,idp72,host72,source71,idp71,host71,source70,idp70,host70,source69,idp69,host69,source68,idp68,host68,source67,idp67,host67,source66,idp66,host66,source65,idp65,host65,source64,idp64,host64
435,MAA,Mauritania,1,6,39,0,31,27,0,31,26,0,30,29,0,31,29,0,31,27,0,23,45,0,25,50,0,25,50,0,25,45,0,25,30,0,20,55,0,5,65,0,15,80,0,35,75,0,55,79,0,46,65,0,40,66,0,40,60,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,MAS,Mauritius,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,MOR,Morocco,1,5,0,0,0,116,0,0,117,0,0,117,0,2,124,0,2,0,0,190,110,0,2,110,0,0,110,0,0,110,0,0,105,0,0,86,0,0,80,0,0,80,0,0,80,0,0,80,0,0,165,0,1,165,0,0,165,0,0,165,0,0,165,0,0,165,0,0,165,0,0,165,0,0,165,0,0,50,0,0,50,0,0,50,0,0,50,0,0,,,,50,0,0,0,0,0,20,0,25,,,,0,0,0,,,,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0,2
541,MZM,Mozambique,1,6,4,0,13,0,0,7,0,0,7,0,0,6,0,0,6,8,0,0,0,0,7,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,97,500,0,325,500,0,1332,2000,0,1725,3500,0,1484,2000,0,1427,2000,0,1354,0,0,1147,1750,0,917,2000,0,349,1350,0,219,1250,0,44,400,0,0,0,0,0,50,0,0,0,0,0,0,150,,,,200,0,32,150,0,20,150,0,15,,,,101,0,0,,,,99,0,0,83,0,0,63,0,0,52,0,0,50,0,0,41,0,0,15,0,0,10,0,0,0,0,0
561,NAM,Namibia,1,6,0,0,12,0,0,8,0,0,7,0,0,14,0,0,17,15,0,0,0,0,26,0,0,31,0,0,20,1,0,8,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,30,0,0,25,0,0,25,81,0,0,78,0,0,78,0,0,78,0,0,75,0,0,75,0,0,999,0,0,50,0,0,36,0,4,,,,9,0,8,0,0,5,0,0,0,,,,2,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,NIR,Niger,1,6,0,6,16,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,10,0,7,15,0,27,20,0,17,20,0,3,6,0,3,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0
475,NIG,Nigeria,1,6,7,0,9,3,0,10,6,0,9,19,200,9,26,225,10,10,57,39,30,50,7,10,50,7,7,0,10,0,28,7,0,3,5,1,50,9,4,30,8,0,0,8,0,0,5,0,0,4,0,0,3,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,7,0,0,7,0,0,5,0,0,0,0,0,40,0,0,110,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,41,3500,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0
517,RWA,Rwanda,1,6,89,0,59,71,0,54,92,0,53,103,0,50,59,0,36,37,0,46,50,0,32,60,0,35,55,150,29,35,600,36,12,500,36,43,50,28,257,0,20,1545,500,0,1715,1200,0,275,300,370,202,350,24,511,100,32,511,0,22,233,0,20,218,0,21,197,0,19,189,0,19,187,0,21,149,0,49,145,0,60,999,0,10,335,0,10,175,0,8,,,,175,0,7,174,0,7,151,0,7,,,,161,0,8,,,,155,0,3,142,0,12,145,0,12,180,0,13,161,0,13,160,0,13,185,0,0,185,0,0,159,0,0
433,SEN,Senegal,1,6,15,40,36,15,40,24,15,64,23,7,0,23,12,0,23,23,17,13,11,5,45,10,5,43,10,5,41,10,0,42,10,10,30,0,10,41,17,0,51,17,0,68,17,0,60,18,0,66,15,0,55,28,0,53,0,0,55,0,0,48,0,0,5,0,0,6,0,0,6,0,0,5,0,0,5,0,0,5,0,0,4,0,0,5,0,0,0,,,,0,0,30,0,0,0,0,0,0,,,,0,0,84,,,,0,0,81,0,0,81,0,0,68,0,0,63,0,0,61,0,0,61,0,0,55,0,0,35,0,0,0
451,SIE,Sierra Leone,1,6,18,0,17,18,0,17,17,0,28,17,0,60,21,0,66,70,0,68,130,0,60,185,600,15,400,750,3,460,500,7,480,300,10,297,500,15,350,800,15,363,1000,15,260,700,20,260,400,15,200,200,8,181,145,17,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,5,0,0,5,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,SOM,Somalia,1,6,530,1300,15,504,1100,2,410,400,0,328,370,3,325,400,3,0,350,277,300,350,0,300,400,0,370,300,0,425,350,0,421,250,0,486,200,0,467,250,0,480,300,0,457,500,0,491,700,0,865,2000,10,718,750,35,456,400,358,389,235,350,350,600,365,0,0,430,0,0,550,0,0,550,0,0,700,0,0,500,0,150,700,0,0,1540,0,0,1174,,,,0,0,20,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,70,0,0,70,0,0,70,0,419,70,0,419,70,0,419,70,0,0,70,0,0,0,0,0
560,SAF,South Africa,1,6,0,0,256,0,0,145,0,0,171,0,0,170,0,0,143,104,0,0,0,0,65,0,0,22,0,0,30,0,0,40,0,0,29,0,0,28,0,500,22,0,500,90,0,4000,200,11,4000,300,11,4100,250,28,4100,210,40,4100,201,0,3570,201,0,3570,180,0,3570,180,0,3500,170,28,3500,160,23,0,0,16,0,0,999,0,0,15,0,0,7,0,0,,,,3,0,0,3,0,0,0,0,5,,,,5,0,0,,,,4,0,0,5,0,0,3,0,0,2,0,0,6,0,0,6,0,0,10,0,0,10,0,0,0,0,0
625,SUD,Sudan,1,6,424,4900,234,540,6000,311,648,5355,296,671,5335,232,704,6000,226,280,4800,600,475,4000,287,440,4000,307,460,4000,385,420,4000,363,352,4000,360,353,4000,365,434,4000,395,448,4000,450,510,4000,550,373,4000,633,263,5000,750,202,4750,717,499,4500,726,435,2500,694,355,2600,694,205,1500,817,111,1300,914,72,0,1094,39,0,690,5,0,513,11,0,500,11,0,490,11,0,343,,,,10,0,154,8,0,91,11,0,91,,,,13,0,56,,,,208,0,59,176,0,60,188,0,54,178,0,46,155,0,40,135,0,0,86,0,0,60,0,0,0,0,0
572,SWA,Swaziland,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,52,0,0,47,0,0,47,0,0,72,0,0,71,0,0,67,0,0,12,0,0,11,0,0,7,0,0,6,0,0,6,0,0,10,0,0,4,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,TAZ,Tanzania,1,6,4,0,322,0,0,433,4,0,486,5,0,549,4,0,602,480,0,0,0,0,516,0,0,498,0,0,543,0,0,413,0,0,329,0,0,295,0,0,335,0,0,703,0,0,752,0,0,480,0,0,258,0,0,451,0,0,266,0,0,266,0,0,266,0,0,266,0,0,200,0,0,179,0,0,180,0,0,155,0,0,156,0,10,140,0,40,168,,,,0,0,152,0,0,133,0,0,110,,,,0,0,177,,,,0,0,97,0,0,79,0,0,58,0,0,55,0,0,50,0,0,41,0,0,39,0,0,40,0,0,16
461,TOG,Togo,1,6,6,2,7,17,2,7,22,2,7,42,0,10,4,0,12,12,0,4,0,0,11,2,0,11,2,0,11,3,0,10,3,0,11,6,0,12,30,0,10,95,0,10,140,100,5,240,150,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6
616,TUN,Tunisia,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,UGA,Uganda,1,6,20,622,155,21,869,236,26,2000,278,35,1741,254,29,1330,252,232,1400,28,25,650,221,20,500,174,20,500,230,15,450,197,12,400,185,10,300,185,15,70,225,10,0,230,15,0,323,20,0,257,15,0,180,15,300,285,0,300,276,0,300,170,0,225,126,97,250,120,186,300,120,282,500,151,310,678,132,230,35,103,999,50,113,188,265,112,105,0,112,,,,18,0,112,39,0,78,41,0,78,,,,3,0,114,,,,4,0,106,0,0,184,0,0,177,0,0,176,0,0,167,0,0,156,0,0,128,0,0,98,0,0,48
551,ZAM,Zambia,1,6,0,0,89,0,0,113,0,0,121,0,0,156,0,0,174,239,0,0,0,0,247,0,0,270,0,0,255,0,0,205,0,0,157,0,0,118,0,0,126,0,0,125,0,0,123,0,0,158,0,0,156,0,0,140,0,0,134,0,0,132,0,0,149,0,0,149,0,0,141,0,0,102,0,0,104,0,0,50,999,0,42,2,0,34,0,0,75,,,,0,0,45,0,0,30,0,0,20,,,,5,0,37,,,,5,0,18,20,0,18,19,0,14,19,0,12,24,0,16,4,0,6,0,0,41,0,0,36,0,0,0
552,ZIM,Zimbabwe,1,6,151,785,4,48,920,4,18,570,4,16,570,14,9,0,7,8,100,3,0,150,10,0,50,9,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,200,0,0,265,0,0,198,0,0,186,0,0,186,0,0,172,0,0,150,0,0,66,4,0,52,4,0,44,0,0,0,0,0,0,0,660,0,217,500,0,,,,51,0,0,20,0,0,15,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,ALB,Albania,2,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,26,0,0,,,,24,0,0,24,0,0,26,0,0,26,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0
371,ARM,Armenia,2,5,0,8,4,0,8,5,0,8,12,2,0,11,3,0,11,11,50,0,12,50,11,9,50,11,0,0,0,188,0,240,180,60,229,188,70,219,197,50,150,185,0,304,229,0,296,200,0,290,202,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,AUS,Austria,2,1,0,0,12,0,0,13,0,0,44,0,0,17,0,0,19,18,0,0,0,0,31,0,0,11,0,0,6,0,0,17,0,0,16,0,0,11,0,0,80,0,0,56,0,0,59,0,0,78,0,0,82,0,0,35,0,0,23,0,0,23,0,0,16,0,0,18,0,0,20,0,0,21,0,0,10,0,0,18,0,0,43,0,0,23,0,0,2,,,,0,0,0,0,0,2,0,0,2,,,,0,0,25,,,,0,0,25,0,0,25,0,0,25,0,0,36,0,0,43,0,0,24,0,0,0,0,0,0,0,0,2
373,AZE,Azerbaijan,2,5,4,588,3,4,687,3,11,663,3,11,558,3,11,528,10,10,571,0,0,576,11,0,572,7,0,575,4,230,568,222,218,576,235,218,550,244,238,550,249,390,670,238,374,630,279,290,600,251,350,216,246,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,BLR,Belarus,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,0,16,0,0,34,0,0,11,0,0,7,0,0,19,0,0,10,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,BEL,Belgium,2,1,0,0,7,0,0,7,0,0,18,0,0,14,0,0,25,33,0,0,0,0,30,0,0,41,0,0,46,0,0,42,0,0,26,0,0,14,0,0,18,0,0,16,0,0,19,0,0,33,0,0,19,0,0,15,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,28,0,0,1,,,,0,0,2,0,0,2,0,0,2,,,,0,0,29,,,,0,0,29,0,0,29,0,0,47,0,0,47,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0
346,BOS,Bosnia,2,2,21,125,7,30,125,7,30,180,10,28,183,11,30,309,23,23,327,142,160,368,34,210,439,33,250,518,38,300,830,60,424,836,40,557,800,40,1006,1000,0,906,1300,0,863,1300,0,0,1300,70,0,740,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,BUL,Bulgaria,2,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,1,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,,,,999,0,0,999,0,0,999,0,0,,,,999,0,0,,,,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0
344,CRO,Croatia,2,2,53,2,3,76,3,3,57,6,3,60,0,3,70,0,4,4,13,209,251,17,8,272,23,22,315,34,22,340,50,24,309,61,27,335,110,50,300,185,167,200,240,190,137,290,188,0,350,280,0,340,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,CYP,Cyprus,2,5,0,200,10,0,210,10,0,210,13,0,150,14,0,0,11,5,265,0,0,265,2,0,265,1,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,265,0,0,268,0,0,268,10,0,265,1,0,265,0,0,240,0,0,240,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,10,193,0,,,,2,200,0,0,200,3,0,200,3,,,,0,200,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,CZR,Czech Republic,2,2,0,0,3,0,0,3,0,0,5,0,0,0,0,0,3,4,0,0,0,0,6,0,0,11,0,0,5,0,0,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,5,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,DEN,Denmark,2,1,0,0,3,0,0,0,0,0,3,0,0,2,0,0,2,3,0,0,0,0,5,0,0,12,0,0,10,0,0,8,0,0,6,0,0,13,0,0,25,0,0,10,0,0,25,0,0,23,0,0,14,0,0,5,0,0,6,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,2,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,EST,Estonia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,FIN,Finland,2,1,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,3,0,0,4,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,0,4,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,FRN,France,2,5,0,0,22,0,0,17,0,0,46,0,0,26,0,0,23,35,0,0,0,0,28,0,0,12,0,0,26,0,0,30,0,0,17,0,0,16,0,0,29,0,0,30,0,0,33,0,0,31,0,0,29,0,0,47,0,0,56,0,0,82,0,0,54,0,0,26,0,0,28,0,0,0,0,0,0,0,0,0,0,0,150,0,0,78,0,0,60,,,,0,0,126,0,0,128,0,0,105,,,,0,0,161,,,,0,0,160,0,0,160,0,0,160,0,0,310,0,0,215,0,0,292,0,0,133,0,0,62,0,0,23
372,GRG,Georgia,2,2,44,266,0,45,300,0,50,231,0,20,240,3,20,260,3,4,260,25,26,262,4,21,264,8,26,272,8,41,280,5,23,280,0,11,275,0,105,285,0,105,280,0,107,260,0,143,250,0,130,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,GMY,Germany,2,1,0,0,54,0,0,29,0,0,22,0,0,64,0,0,83,91,0,0,0,0,104,0,0,116,0,0,180,0,0,285,0,0,198,0,0,277,0,0,436,0,0,443,0,0,430,0,0,529,0,0,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,GRC,Greece,2,1,0,0,34,0,0,20,0,0,6,0,0,11,0,0,10,5,0,0,0,0,2,0,0,6,0,0,1,0,0,8,0,0,3,0,0,2,0,0,6,0,0,1,0,0,1,0,0,1,0,0,2,0,0,13,0,0,6,0,0,0,0,0,5,0,0,3,0,0,4,0,0,4,0,0,4,0,0,3,0,0,4,0,0,4,0,0,3,,,,0,0,2,0,0,7,0,0,7,,,,0,0,3,,,,0,0,2,0,0,4,0,0,8,0,0,8,0,0,12,0,0,12,0,0,5,0,0,5,0,0,4
310,HUN,Hungary,2,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,2,0,0,0,0,1,0,0,3,0,0,4,0,0,6,0,0,3,0,0,3,0,0,5,0,0,9,0,0,11,0,0,10,0,0,40,0,0,50,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,,,,999,0,0,999,0,0,999,0,0,,,,999,0,0,,,,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0
205,IRE,Ireland,2,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,11,6,0,0,0,0,7,0,0,10,0,0,8,0,0,8,0,0,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,ITA,Italy,2,1,0,0,19,0,0,5,0,0,5,0,0,6,0,0,6,6,0,0,0,0,5,0,0,10,0,0,14,0,0,25,0,0,7,0,0,20,0,0,11,0,0,61,0,0,32,0,0,34,0,0,19,0,0,31,0,0,5,0,0,0,0,0,13,0,0,13,0,0,15,0,0,15,0,0,10,0,0,6,0,0,14,0,0,14,0,0,100,,,,0,0,0,0,0,0,0,0,0,,,,0,0,13,,,,0,0,13,0,0,15,0,0,17,0,0,17,0,0,16,0,0,15,0,0,1,0,0,1,0,0,0
367,LAT,Latvia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,LIT,Lithuania,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,MAC,Macedonia,2,2,0,1,3,0,1,3,0,1,3,0,0,2,0,0,2,2,0,0,3,9,3,23,21,4,0,0,9,0,0,17,0,0,7,0,0,4,0,0,5,0,0,7,0,0,8,0,0,12,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,MLD,Moldova,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
